"Epoch","N","Mean_Length","SD_Length","Min_Length","Max_Length"
"Pleistocene",305,17.39,5.82,6.5,35.47
"Holocene",1100,19.51,6.28,5.88,43.93
"Anthropocene",2439,20.18,7.12,4.6,47.9
